,year,model,price,mileage,color,transmission
0,2011,SEL,21992,7413,Yellow,AUTO
1,2011,SEL,20995,10926,Gray,AUTO
2,2011,SEL,29995,36323,Gray,AUTO
3,2011,SEL,19995,7351,Silver,AUTO
4,2011,SEL,17809,11613,Gray,AUTO
5,2012,SE,17500,8367,White,AUTO
6,2010,SEL,17495,25125,Silver,AUTO
7,2010,SES,13128,36323,Silver,AUTO
8,2011,SEL,17000,27393,Blue,AUTO
9,2010,SEL,16995,21026,Silver,AUTO
10,2011,SES,16995,32655,Silver,AUTO
11,2011,SES,13128,4232,Blue,AUTO
12,2010,SES,16995,36116,Silver,AUTO
13,2010,SES,16995,40539,Black,AUTO
14,2011,SES,16992,9199,Silver,AUTO
15,2011,SEL,16950,9388,Green,AUTO
16,2010,SES,16950,32058,Red,AUTO
17,2011,SE,16000,15367,White,AUTO
18,2011,SES,15999,16368,Blue,AUTO
19,2010,SEL,15999,19926,Silver,AUTO
20,2010,SES,15995,36049,Silver,AUTO
21,2011,SEL,15992,11662,Blue,AUTO
22,2011,SE,16901,36323,White,AUTO
23,2011,SEL,15992,32069,Silver,AUTO
24,2010,SES,15988,16035,Silver,MANUAL
25,2010,SEL,15980,39943,White,AUTO
26,2011,SE,15899,36685,Silver,AUTO
27,2010,SES,15228,36323,Silver,MANUAL
28,2010,SEL,15889,24920,Black,AUTO
29,2009,SEL,15688,20019,Blue,AUTO
30,2010,SE,15500,29338,Blue,AUTO
31,2010,SE,15499,7784,Black,AUTO
32,2010,SE,15499,35636,Black,AUTO
33,2010,SEL,13128,65636,Black,MANUAL
34,2010,SES,15298,22029,Gray,AUTO
35,2009,SEL,14999,33107,Silver,AUTO
36,2010,SES,14999,36306,Red,AUTO
37,2009,SE,14995,34419,Black,MANUAL
38,2011,SE,14992,4867,Black,AUTO
39,2011,SEL,14992,18948,Black,AUTO
40,2009,SES,14992,24030,Red,AUTO
41,2010,SEL,14990,33036,Black,AUTO
42,2011,SE,14989,23967,White,AUTO
43,2010,SEL,19906,36323,White,AUTO
44,2010,SE,14906,37905,Silver,AUTO
45,2010,SE,14900,28955,White,AUTO
46,2010,SE,14893,11165,White,AUTO
47,2010,SES,14761,44813,Black,AUTO
48,2010,SES,14699,36469,Gray,AUTO
49,2010,SES,14677,22143,Black,MANUAL
50,2009,SES,14549,34046,Silver,AUTO
51,2010,SE,14499,32703,Red,AUTO
52,2010,SES,14495,35894,Silver,AUTO
53,2010,SE,14495,38275,Black,AUTO
54,2010,SE,14480,24855,Blue,AUTO
55,2009,SEL,14477,29501,Gray,MANUAL
56,2009,SEL,14355,35394,Red,AUTO
57,2010,SE,14299,36447,Black,AUTO
58,2010,SES,14275,35318,Black,AUTO
59,2010,SES,14000,24929,Silver,AUTO
60,2009,SE,13999,23785,Red,AUTO
61,2010,SE,13997,15167,Black,MANUAL
62,2010,SE,13995,13541,Silver,AUTO
63,2010,SE,13995,20278,Black,MANUAL
64,2009,SES,13995,46126,Black,AUTO
65,2009,SES,13995,53733,Silver,AUTO
66,2009,SES,13992,21108,Silver,AUTO
67,2010,SE,13992,21721,Green,AUTO
68,2010,SES,13992,26716,Gray,MANUAL
69,2009,SES,13992,26887,Black,AUTO
70,2009,SE,13991,36252,Silver,MANUAL
71,2009,SE,13950,9450,Black,AUTO
72,2010,SE,13950,31414,Black,AUTO
73,2010,SE,13950,37185,Blue,AUTO
74,2010,SE,13895,48174,Gray,AUTO
75,2009,SE,13888,50533,White,AUTO
76,2009,SE,13845,36713,Blue,AUTO
77,2009,SES,13799,34888,Black,AUTO
78,2009,SES,13742,38380,Black,AUTO
79,2010,SEL,13687,35574,Gray,AUTO
80,2009,SEL,13663,27528,Silver,AUTO
81,2010,SES,13599,33302,Red,AUTO
82,2009,SEL,13584,43369,Red,AUTO
83,2009,SES,13425,64055,Black,AUTO
84,2010,SE,13384,41342,Gray,AUTO
85,2010,SE,13383,34503,Black,AUTO
86,2010,SE,13350,16573,Blue,AUTO
87,2009,SES,12999,32403,Blue,AUTO
88,2009,SE,12998,34846,Blue,AUTO
89,2007,SE,12997,39665,Red,AUTO
90,2010,SE,12995,21325,Black,AUTO
91,2010,SE,12995,32743,Black,MANUAL
92,2010,SE,12995,40058,White,MANUAL
93,2009,SE,12995,42325,Blue,AUTO
94,2009,SE,12995,44518,Red,AUTO
95,2009,SE,12995,53902,Gray,AUTO
96,2008,SE,12995,127327,Red,AUTO
97,2009,SE,12992,27136,Gray,AUTO
98,2009,SES,12990,45813,Silver,AUTO
99,2009,SE,12988,31538,Gray,AUTO
100,2010,SE,12849,29517,Silver,AUTO
101,2010,SE,12780,35871,Black,AUTO
102,2008,SE,12777,49787,Black,MANUAL
103,2008,SES,12704,36323,Blue,AUTO
104,2009,SES,12595,39211,Blue,AUTO
105,2009,SE,12507,44789,Gray,AUTO
106,2008,SE,12500,45996,White,MANUAL
107,2009,SE,12500,54988,White,MANUAL
108,2009,SE,12280,29288,Red,AUTO
109,2009,SE,11999,36124,Blue,AUTO
110,2009,SE,11992,32559,Black,MANUAL
111,2009,SES,11984,59048,Black,AUTO
112,2009,SE,11980,55170,Red,AUTO
113,2010,SE,11792,39722,Green,AUTO
114,2008,SE,11754,38286,Black,AUTO
115,2008,SES,11749,57341,Red,AUTO
116,2008,SES,11495,82221,Silver,AUTO
117,2008,SE,11450,85229,Red,MANUAL
118,2009,SES,10995,42834,Red,AUTO
119,2005,SES,10995,69415,Blue,AUTO
120,2009,SEL,10995,78264,Gray,AUTO
121,2009,SE,10979,60709,Red,AUTO
122,2008,SE,10955,39643,Gray,AUTO
123,2009,SE,10955,40180,Gold,AUTO
124,2008,SE,10836,40330,Green,MANUAL
125,2007,SES,10815,77231,Red,AUTO
126,2007,SE,10770,72937,Silver,MANUAL
127,2010,SE,10717,64199,Black,AUTO
128,2007,SES,10000,63926,Red,AUTO
129,2007,SES,9999,74427,Silver,AUTO
130,2007,SES,9999,78948,Black,MANUAL
131,2006,SE,9995,51311,Silver,AUTO
132,2008,SE,9995,95364,White,AUTO
133,2008,SE,9992,74109,White,AUTO
134,2007,SE,9651,63296,Blue,AUTO
135,2007,SES,9000,80605,Red,AUTO
136,2006,SE,8999,49656,Silver,AUTO
137,2007,SE,8996,48652,Silver,MANUAL
138,2006,SE,8800,71331,White,AUTO
139,2008,SE,8495,106171,Black,AUTO
140,2008,SE,8494,68901,Silver,AUTO
141,2009,SE,8480,70036,White,MANUAL
142,2007,SES,7999,81596,Yellow,MANUAL
143,2006,SES,7995,35000,Black,MANUAL
144,2006,SES,7995,97987,Red,AUTO
145,2003,SES,7900,96000,White,AUTO
146,2005,SES,7488,59013,Red,AUTO
147,2004,SE,6999,105714,Silver,AUTO
148,2007,SE,6995,86862,White,AUTO
149,2000,SE,6980,60161,Green,AUTO
150,2004,SES,6980,101130,Gray,AUTO
151,2004,SES,6950,119720,Black,AUTO
152,2006,SES,6200,95000,Silver,AUTO
153,2002,SE,5995,87003,Red,AUTO
154,2000,SE,5980,96841,Red,AUTO
155,2001,SE,4899,151479,Yellow,AUTO
156,2000,SE,3800,109259,Red,AUTO
157,2010,SES,13128,16035,Red,MANUAL
158,2005,SES,8488,36323,Red,AUTO
159,2004,SE,13128,36323,Silver,AUTO
